X (ms);C0:Drive_1.r61[0];C1:Drive_1.r80[0];C2:Drive_1.r70
0,000000;0,000000;0,000000;594,799988
20,000000;0,000000;0,000000;595,700012
40,000000;0,000000;0,000000;595,700012
60,000000;0,000000;0,000000;594,799988
80,000000;0,000000;0,000000;595,700012
100,000000;0,000000;0,000000;595,700012
120,000000;0,000000;0,000000;595,700012
140,000000;0,000000;0,000000;594,799988
160,000000;0,000000;0,000000;595,700012
180,000000;0,000000;0,000000;595,700012
200,000000;0,000000;0,000000;594,799988
220,000000;0,000000;0,000000;595,700012
240,000000;0,000000;0,000000;595,700012
260,000000;0,000000;0,000000;595,700012
280,000000;0,000000;0,000000;595,700012
300,000000;0,000000;0,000000;595,700012
320,000000;0,000000;0,000000;595,700012
340,000000;0,000000;0,000000;595,700012
360,000000;0,000000;0,000000;595,700012
380,000000;0,000000;0,000000;594,799988
400,000000;0,000000;0,000000;595,700012
420,000000;0,000000;0,000000;595,700012
440,000000;0,000000;0,000000;594,799988
460,000000;0,000000;0,000000;595,700012
480,000000;0,000000;0,000000;594,799988
500,000000;0,000000;0,000000;595,700012
520,000000;0,000000;0,000000;595,700012
540,000000;0,000000;0,000000;594,799988
560,000000;0,000000;0,000000;594,799988
580,000000;0,000000;0,000000;594,799988
600,000000;0,000000;0,000000;595,700012
620,000000;0,000000;0,000000;594,799988
640,000000;0,000000;0,000000;594,799988
660,000000;0,000000;0,000000;595,700012
680,000000;0,000000;0,000000;594,799988
700,000000;0,000000;0,000000;595,700012
720,000000;0,000000;0,000000;594,799988
740,000000;0,000000;0,000000;595,700012
760,000000;0,000000;0,000000;594,799988
780,000000;0,000000;0,000000;594,799988
800,000000;0,000000;0,000000;595,700012
820,000000;0,000000;0,000000;595,700012
840,000000;0,000000;0,000000;594,799988
860,000000;0,000000;0,000000;594,799988
880,000000;0,000000;0,000000;594,799988
900,000000;0,000000;0,000000;595,700012
920,000000;0,000000;0,000000;595,700012
940,000000;0,000000;0,000000;595,700012
960,000000;0,000000;0,000000;594,799988
980,000000;0,000000;0,000000;595,700012
1000,000000;0,000000;0,000000;595,700012
1020,000000;0,000000;0,000000;595,700012
1040,000000;0,000000;0,000000;595,700012
1060,000000;0,000000;0,000000;595,700012
1080,000000;0,000000;0,000000;594,799988
1100,000000;0,000000;0,000000;595,700012
1120,000000;0,000000;0,000000;595,700012
1140,000000;0,000000;0,000000;594,799988
1160,000000;0,000000;0,000000;595,700012
1180,000000;0,000000;0,000000;594,799988
1200,000000;0,000000;0,000000;594,799988
1220,000000;0,000000;0,000000;595,700012
1240,000000;0,000000;0,000000;594,799988
1260,000000;0,000000;0,000000;594,799988
1280,000000;0,000000;0,000000;594,799988
1300,000000;0,000000;0,000000;594,799988
1320,000000;0,000000;0,000000;595,700012
1340,000000;0,000000;0,000000;594,799988
1360,000000;0,000000;0,000000;594,799988
1380,000000;0,000000;0,000000;594,799988
1400,000000;0,000000;0,000000;594,799988
1420,000000;0,000000;0,000000;594,799988
1440,000000;0,000000;0,000000;594,799988
1460,000000;0,000000;0,000000;594,799988
1480,000000;0,000000;0,000000;594,799988
1500,000000;0,000000;0,000000;594,799988
1520,000000;0,000000;0,000000;595,700012
1540,000000;0,000000;0,000000;594,799988
1560,000000;0,000000;0,000000;594,799988
1580,000000;0,000000;0,000000;594,799988
1600,000000;0,000000;0,000000;594,799988
1620,000000;0,000000;0,000000;594,799988
1640,000000;0,000000;0,000000;595,700012
1660,000000;0,000000;0,000000;594,799988
1680,000000;0,000000;0,000000;594,799988
1700,000000;0,000000;0,000000;594,799988
1720,000000;0,000000;0,000000;594,799988
1740,000000;0,000000;0,000000;595,700012
1760,000000;0,000000;0,000000;594,799988
1780,000000;0,000000;0,000000;594,799988
1800,000000;0,000000;0,000000;594,799988
1820,000000;0,000000;0,000000;594,799988
1840,000000;0,000000;0,000000;595,700012
1860,000000;0,000000;0,000000;594,799988
1880,000000;0,000000;0,000000;595,700012
1900,000000;0,000000;0,000000;594,799988
1920,000000;0,000000;0,000000;594,799988
1940,000000;0,000000;0,000000;595,700012
1960,000000;0,000000;0,000000;594,799988
1980,000000;0,000000;0,000000;594,799988
2000,000000;0,000000;0,000000;594,799988
2020,000000;0,000000;0,000000;595,700012
2040,000000;0,000000;0,000000;595,700012
2060,000000;0,000000;0,000000;594,799988
2080,000000;0,000000;0,000000;595,700012
2100,000000;0,000000;0,000000;595,700012
2120,000000;0,000000;0,000000;594,799988
2140,000000;0,000000;0,000000;595,700012
2160,000000;0,000000;0,000000;594,799988
2180,000000;0,000000;0,000000;594,799988
2200,000000;0,000000;0,000000;594,799988
2220,000000;0,000000;0,000000;594,799988
2240,000000;0,000000;0,000000;595,700012
2260,000000;0,000000;0,000000;595,700012
2280,000000;0,000000;0,000000;594,799988
2300,000000;0,000000;0,000000;594,799988
2320,000000;0,000000;0,000000;594,799988
2340,000000;0,000000;0,000000;595,700012
2360,000000;0,000000;0,000000;594,799988
2380,000000;0,000000;0,000000;594,799988
2400,000000;0,000000;0,000000;594,799988
2420,000000;0,000000;0,000000;594,799988
2440,000000;0,000000;0,000000;594,799988
2460,000000;0,000000;0,000000;595,700012
2480,000000;0,000000;0,000000;594,799988
2500,000000;0,000000;0,000000;594,799988
2520,000000;0,000000;0,000000;594,799988
2540,000000;0,000000;0,000000;595,700012
2560,000000;0,000000;0,000000;595,700012
2580,000000;0,000000;0,000000;594,799988
2600,000000;0,000000;0,000000;594,799988
2620,000000;0,000000;0,000000;594,799988
2640,000000;0,000000;0,000000;595,700012
2660,000000;0,000000;0,000000;595,700012
2680,000000;0,000000;0,000000;594,799988
2700,000000;0,000000;0,000000;594,799988
2720,000000;0,000000;0,000000;594,799988
2740,000000;0,000000;0,000000;594,799988
2760,000000;0,000000;0,000000;595,700012
2780,000000;0,000000;0,000000;594,799988
2800,000000;0,000000;0,000000;594,799988
2820,000000;0,000000;0,000000;594,799988
2840,000000;0,000000;0,000000;594,799988
2860,000000;0,000000;0,000000;595,700012
2880,000000;0,000000;0,000000;594,799988
2900,000000;0,000000;0,000000;594,799988
2920,000000;0,000000;0,000000;594,799988
2940,000000;0,000000;0,000000;594,799988
2960,000000;0,000000;0,000000;594,799988
2980,000000;0,000000;0,000000;594,799988
3000,000000;0,000000;0,000000;594,799988
3020,000000;0,000000;0,000000;594,799988
3040,000000;0,000000;0,000000;594,799988
3060,000000;0,000000;0,000000;594,799988
3080,000000;0,000000;0,000000;594,799988
3100,000000;0,000000;0,000000;594,799988
3120,000000;0,000000;0,000000;594,799988
3140,000000;0,000000;0,000000;594,799988
3160,000000;0,000000;0,000000;594,799988
3180,000000;0,000000;0,000000;594,799988
3200,000000;0,000000;0,000000;594,799988
3220,000000;0,000000;0,000000;594,799988
3240,000000;0,000000;0,000000;594,799988
3260,000000;0,000000;0,000000;594,799988
3280,000000;0,000000;0,000000;593,900024
3300,000000;0,000000;0,000000;594,799988
3320,000000;0,000000;0,000000;594,799988
3340,000000;0,000000;0,000000;594,799988
3360,000000;0,000000;0,000000;594,799988
3380,000000;0,000000;0,000000;594,799988
3400,000000;0,000000;0,000000;594,799988
3420,000000;0,000000;0,000000;594,799988
3440,000000;0,000000;0,000000;594,799988
3460,000000;0,000000;0,000000;595,700012
3480,000000;0,000000;0,000000;594,799988
3500,000000;0,000000;0,000000;594,799988
3520,000000;0,000000;0,000000;594,799988
3540,000000;0,000000;0,000000;594,799988
3560,000000;0,000000;0,000000;595,700012
3580,000000;0,000000;0,000000;594,799988
3600,000000;0,000000;0,000000;594,799988
3620,000000;0,000000;0,000000;594,799988
3640,000000;0,000000;0,000000;594,799988
3660,000000;0,000000;0,000000;594,799988
3680,000000;0,000000;0,000000;594,799988
3700,000000;0,000000;0,000000;594,799988
3720,000000;0,000000;0,000000;594,799988
3740,000000;0,000000;0,000000;594,799988
3760,000000;0,000000;0,000000;595,700012
3780,000000;0,000000;0,000000;594,799988
3800,000000;0,000000;0,000000;594,799988
3820,000000;0,000000;0,000000;594,799988
3840,000000;0,000000;0,000000;594,799988
3860,000000;0,000000;0,000000;595,700012
3880,000000;0,000000;0,000000;594,799988
3900,000000;0,000000;0,000000;594,799988
3920,000000;0,000000;0,000000;594,799988
3940,000000;0,000000;0,000000;594,799988
3960,000000;0,000000;0,000000;595,700012
3980,000000;0,000000;0,000000;595,700012
4000,000000;0,000000;0,000000;594,799988
4020,000000;0,000000;0,000000;594,799988
4040,000000;0,000000;0,000000;594,799988
4060,000000;0,000000;0,000000;595,700012
4080,000000;0,000000;0,000000;594,799988
4100,000000;0,000000;0,000000;595,700012
4120,000000;0,000000;0,000000;594,799988
4140,000000;0,000000;0,000000;594,799988
4160,000000;0,000000;0,000000;595,700012
4180,000000;0,000000;0,000000;594,799988
4200,000000;0,000000;0,000000;594,799988
4220,000000;0,000000;0,000000;594,799988
4240,000000;0,000000;0,000000;594,799988
4260,000000;0,000000;0,000000;595,700012
4280,000000;0,000000;0,000000;594,799988
4300,000000;0,000000;0,000000;594,799988
4320,000000;0,000000;0,000000;594,799988
4340,000000;0,000000;0,000000;594,799988
4360,000000;0,000000;0,000000;595,700012
4380,000000;0,000000;0,000000;594,799988
4400,000000;0,000000;0,000000;594,799988
4420,000000;0,000000;0,000000;594,799988
4440,000000;0,000000;0,000000;594,799988
4460,000000;0,000000;0,000000;594,799988
4480,000000;0,000000;0,000000;594,799988
4500,000000;0,000000;0,000000;594,799988
4520,000000;0,000000;0,000000;594,799988
4540,000000;0,000000;0,000000;594,799988
4560,000000;0,000000;0,000000;595,700012
4580,000000;0,000000;0,000000;595,700012
4600,000000;0,000000;0,000000;594,799988
4620,000000;0,000000;0,000000;594,799988
4640,000000;0,000000;0,000000;594,799988
4660,000000;0,000000;0,000000;594,799988
4680,000000;0,000000;0,000000;595,700012
4700,000000;0,000000;0,000000;595,700012
4720,000000;0,000000;0,000000;595,700012
4740,000000;0,000000;0,000000;595,700012
4760,000000;0,000000;0,000000;595,700012
4780,000000;0,000000;0,000000;595,700012
4800,000000;0,000000;0,000000;594,799988
4820,000000;0,000000;0,000000;595,700012
4840,000000;0,000000;0,000000;595,700012
4860,000000;0,000000;0,000000;594,799988
4880,000000;0,000000;0,000000;595,700012
4900,000000;0,000000;0,000000;594,799988
4920,000000;0,000000;0,000000;595,700012
4940,000000;0,000000;0,000000;594,799988
4960,000000;0,000000;0,000000;595,700012
4980,000000;0,000000;0,000000;595,700012
5000,000000;0,000000;0,000000;595,700012
5020,000000;0,000000;0,000000;595,700012
5040,000000;0,000000;0,000000;595,700012
5060,000000;0,000000;0,000000;595,700012
5080,000000;0,000000;0,000000;595,700012
5100,000000;0,000000;0,000000;594,799988
5120,000000;0,000000;0,000000;595,700012
5140,000000;0,000000;0,000000;594,799988
5160,000000;0,000000;0,000000;594,799988
5180,000000;0,000000;0,000000;595,700012
5200,000000;0,000000;0,000000;594,799988
5220,000000;0,000000;0,000000;594,799988
5240,000000;0,000000;0,000000;594,799988
5260,000000;0,000000;0,000000;594,799988
5280,000000;0,000000;0,000000;595,700012
5300,000000;0,000000;0,000000;594,799988
5320,000000;0,000000;0,000000;594,799988
5340,000000;0,000000;0,000000;595,700012
5360,000000;0,000000;0,000000;594,799988
5380,000000;0,000000;0,000000;595,700012
5400,000000;0,000000;0,000000;595,700012
5420,000000;0,000000;0,000000;594,799988
5440,000000;0,000000;0,000000;594,799988
5460,000000;0,000000;0,000000;594,799988
5480,000000;0,000000;0,000000;594,799988
5500,000000;0,000000;0,000000;594,799988
5520,000000;0,000000;0,000000;594,799988
5540,000000;0,000000;0,000000;594,799988
5560,000000;0,000000;0,000000;594,799988
5580,000000;0,000000;0,000000;595,700012
5600,000000;0,000000;0,000000;595,700012
5620,000000;0,000000;0,000000;595,700012
5640,000000;0,000000;0,000000;594,799988
5660,000000;0,000000;0,000000;594,799988
5680,000000;0,000000;0,000000;595,700012
5700,000000;0,000000;0,000000;595,700012
