X (ms);C0:Drive_1.r63[0];C1:Drive_1.r80[0];C2:Drive_1.r76;C3:Drive_1.r78;C4:Drive_1.r70
0,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
8,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
16,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
24,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
32,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
40,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
48,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
56,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
64,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
72,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
80,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
88,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
96,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
104,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
112,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
120,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
128,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
136,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
144,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
152,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
160,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
168,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
176,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
184,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
192,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
200,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
208,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
216,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
224,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
232,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
240,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
248,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
256,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
264,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
272,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
280,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
288,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
296,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
304,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
312,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
320,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
328,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
336,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
344,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
352,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
360,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
368,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
376,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
384,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
392,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
400,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
408,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
416,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
424,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
432,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
440,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
448,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
456,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
464,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
472,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
480,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
488,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
496,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
504,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
512,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
520,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
528,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
536,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
544,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
552,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
560,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
568,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
576,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
584,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
592,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
600,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
608,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
616,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
624,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
632,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
640,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
648,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
656,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
664,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
672,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
680,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
688,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
696,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
704,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
712,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
720,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
728,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
736,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
744,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
752,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
760,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
768,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
776,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
784,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
792,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
800,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
808,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
816,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
824,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
832,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
840,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
848,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
856,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
864,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
872,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
880,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
888,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
896,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
904,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
912,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
920,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
928,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
936,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
944,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
952,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
960,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
968,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
976,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
984,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
992,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1000,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
1008,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1016,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1024,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
1032,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1040,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
1048,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1056,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1064,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1072,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1080,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
1088,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1096,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1104,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
1112,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1120,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
1128,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
1136,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1144,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
1152,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1160,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
1168,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1176,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1184,000000;-0,000000;0,000000;0,000000;0,000000;592,000000
1192,000000;-0,000000;0,000000;0,000000;0,000000;592,900024
1200,000000;-0,000000;0,000000;0,000000;0,000000;593,900024
